=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step2880/46784 loss=0.5738 lm=0.3066 name=0.2671 name_acc=0.863 tok/s=65,357
ep0 step2900/46784 loss=0.3752 lm=0.2199 name=0.1554 name_acc=0.938 tok/s=65,366
ep0 step2920/46784 loss=0.7095 lm=0.2787 name=0.4308 name_acc=0.887 tok/s=65,372
ep0 step2940/46784 loss=0.5636 lm=0.2001 name=0.3635 name_acc=0.894 tok/s=65,378
ep0 step2960/46784 loss=0.3318 lm=0.1998 name=0.1319 name_acc=0.979 tok/s=65,390
ep0 step2980/46784 loss=0.4714 lm=0.2615 name=0.2099 name_acc=0.950 tok/s=65,397
ep0 step3000/46784 loss=0.3121 lm=0.1567 name=0.1554 name_acc=0.937 tok/s=65,404
  dev@3000: 0.4581
ep0 step3020/46784 loss=0.5554 lm=0.3819 name=0.1735 name_acc=0.945 tok/s=65,138
ep0 step3040/46784 loss=0.6677 lm=0.2733 name=0.3944 name_acc=0.828 tok/s=65,144
ep0 step3060/46784 loss=1.0657 lm=0.5725 name=0.4932 name_acc=0.847 tok/s=65,151
ep0 step3080/46784 loss=0.7520 lm=0.3893 name=0.3627 name_acc=0.891 tok/s=65,157
ep0 step3100/46784 loss=0.2437 lm=0.1940 name=0.0496 name_acc=0.988 tok/s=65,163
ep0 step3120/46784 loss=0.6355 lm=0.3993 name=0.2362 name_acc=0.939 tok/s=65,168
ep0 step3140/46784 loss=0.4047 lm=0.1755 name=0.2291 name_acc=0.947 tok/s=65,177
ep0 step3160/46784 loss=0.5562 lm=0.2549 name=0.3013 name_acc=0.883 tok/s=65,181
ep0 step3180/46784 loss=0.2284 lm=0.1625 name=0.0659 name_acc=0.987 tok/s=65,189
ep0 step3200/46784 loss=0.6779 lm=0.2821 name=0.3958 name_acc=0.877 tok/s=65,197
ep0 step3220/46784 loss=0.5804 lm=0.2251 name=0.3553 name_acc=0.942 tok/s=65,218
ep0 step3240/46784 loss=0.4575 lm=0.1959 name=0.2616 name_acc=0.927 tok/s=65,230
ep0 step3260/46784 loss=0.6073 lm=0.2728 name=0.3344 name_acc=0.923 tok/s=65,238
ep0 step3280/46784 loss=0.5125 lm=0.2232 name=0.2893 name_acc=0.892 tok/s=65,247
ep0 step3300/46784 loss=0.3908 lm=0.2360 name=0.1548 name_acc=0.955 tok/s=65,259
ep0 step3320/46784 loss=0.3291 lm=0.1727 name=0.1564 name_acc=0.947 tok/s=65,275
ep0 step3340/46784 loss=0.7884 lm=0.2431 name=0.5454 name_acc=0.860 tok/s=65,286
ep0 step3360/46784 loss=0.6202 lm=0.3212 name=0.2991 name_acc=0.906 tok/s=65,300
ep0 step3380/46784 loss=0.1519 lm=0.1226 name=0.0293 name_acc=0.986 tok/s=65,303
ep0 step3400/46784 loss=0.5878 lm=0.3432 name=0.2446 name_acc=0.918 tok/s=65,302
ep0 step3420/46784 loss=0.7178 lm=0.2317 name=0.4861 name_acc=0.855 tok/s=65,292
ep0 step3440/46784 loss=0.5598 lm=0.3736 name=0.1862 name_acc=0.952 tok/s=65,282
ep0 step3460/46784 loss=0.5353 lm=0.2774 name=0.2579 name_acc=0.922 tok/s=65,290
ep0 step3480/46784 loss=0.7983 lm=0.3393 name=0.4590 name_acc=0.828 tok/s=65,294
ep0 step3500/46784 loss=0.6047 lm=0.3243 name=0.2804 name_acc=0.885 tok/s=65,301
ep0 step3520/46784 loss=1.1875 lm=0.4524 name=0.7351 name_acc=0.773 tok/s=65,301
ep0 step3540/46784 loss=0.3310 lm=0.2859 name=0.0451 name_acc=0.989 tok/s=65,304
ep0 step3560/46784 loss=0.4019 lm=0.2541 name=0.1478 name_acc=0.964 tok/s=65,309
ep0 step3580/46784 loss=0.2327 lm=0.1942 name=0.0385 name_acc=0.990 tok/s=65,312
ep0 step3600/46784 loss=0.4264 lm=0.2342 name=0.1922 name_acc=0.962 tok/s=65,314
ep0 step3620/46784 loss=0.3470 lm=0.1895 name=0.1575 name_acc=0.965 tok/s=65,319
ep0 step3640/46784 loss=0.8899 lm=0.3998 name=0.4901 name_acc=0.873 tok/s=65,328
ep0 step3660/46784 loss=0.3372 lm=0.1976 name=0.1396 name_acc=0.950 tok/s=65,339
ep0 step3680/46784 loss=0.2811 lm=0.2069 name=0.0742 name_acc=0.967 tok/s=65,349
ep0 step3700/46784 loss=0.5785 lm=0.2277 name=0.3508 name_acc=0.891 tok/s=65,370
ep0 step3720/46784 loss=0.3607 lm=0.3166 name=0.0441 name_acc=0.991 tok/s=65,371
ep0 step3740/46784 loss=0.5828 lm=0.2114 name=0.3713 name_acc=0.924 tok/s=65,375
ep0 step3760/46784 loss=0.3040 lm=0.1654 name=0.1386 name_acc=0.963 tok/s=65,380
ep0 step3780/46784 loss=0.4095 lm=0.3463 name=0.0632 name_acc=0.966 tok/s=65,393
ep0 step3800/46784 loss=0.8279 lm=0.3927 name=0.4352 name_acc=0.875 tok/s=65,402
ep0 step3820/46784 loss=0.3648 lm=0.1785 name=0.1863 name_acc=0.956 tok/s=65,412
ep0 step3840/46784 loss=0.8047 lm=0.3469 name=0.4578 name_acc=0.875 tok/s=65,422
ep0 step3860/46784 loss=0.3526 lm=0.2571 name=0.0956 name_acc=0.990 tok/s=65,433
ep0 step3880/46784 loss=0.5810 lm=0.3080 name=0.2730 name_acc=0.948 tok/s=65,445
ep0 step3900/46784 loss=0.6282 lm=0.3753 name=0.2529 name_acc=0.918 tok/s=65,454
ep0 step3920/46784 loss=0.3205 lm=0.1614 name=0.1591 name_acc=0.948 tok/s=65,459
ep0 step3940/46784 loss=0.3492 lm=0.2372 name=0.1120 name_acc=0.976 tok/s=65,468
ep0 step3960/46784 loss=0.5748 lm=0.2954 name=0.2794 name_acc=0.931 tok/s=65,475
ep0 step3980/46784 loss=0.4871 lm=0.2546 name=0.2324 name_acc=0.911 tok/s=65,480
ep0 step4000/46784 loss=0.4870 lm=0.2468 name=0.2402 name_acc=0.959 tok/s=65,488
  dev@4000: 0.4614
ep0 step4020/46784 loss=0.4231 lm=0.1913 name=0.2319 name_acc=0.936 tok/s=65,289
ep0 step4040/46784 loss=0.5874 lm=0.2823 name=0.3051 name_acc=0.932 tok/s=65,295
ep0 step4060/46784 loss=0.6375 lm=0.2692 name=0.3682 name_acc=0.896 tok/s=65,299
ep0 step4080/46784 loss=0.4484 lm=0.1360 name=0.3125 name_acc=0.937 tok/s=65,301
ep0 step4100/46784 loss=0.7166 lm=0.2361 name=0.4805 name_acc=0.878 tok/s=65,309
ep0 step4120/46784 loss=0.3365 lm=0.1618 name=0.1747 name_acc=0.935 tok/s=65,314
ep0 step4140/46784 loss=0.4694 lm=0.2009 name=0.2685 name_acc=0.911 tok/s=65,321
ep0 step4160/46784 loss=0.4909 lm=0.2307 name=0.2602 name_acc=0.925 tok/s=65,328
ep0 step4180/46784 loss=0.3548 lm=0.1897 name=0.1651 name_acc=0.934 tok/s=65,331
ep0 step4200/46784 loss=0.2724 lm=0.1593 name=0.1131 name_acc=0.980 tok/s=65,334
ep0 step4220/46784 loss=0.4135 lm=0.2675 name=0.1459 name_acc=0.959 tok/s=65,332
ep0 step4240/46784 loss=0.3982 lm=0.2408 name=0.1574 name_acc=0.968 tok/s=65,340
ep0 step4260/46784 loss=0.6444 lm=0.3345 name=0.3098 name_acc=0.909 tok/s=65,348
ep0 step4280/46784 loss=0.4593 lm=0.1916 name=0.2677 name_acc=0.933 tok/s=65,353
ep0 step4300/46784 loss=0.5055 lm=0.2110 name=0.2945 name_acc=0.955 tok/s=65,356
ep0 step4320/46784 loss=0.7348 lm=0.3114 name=0.4234 name_acc=0.897 tok/s=65,358
ep0 step4340/46784 loss=0.3604 lm=0.2004 name=0.1600 name_acc=0.974 tok/s=65,363
ep0 step4360/46784 loss=0.4831 lm=0.2943 name=0.1888 name_acc=0.939 tok/s=65,365
ep0 step4380/46784 loss=0.3329 lm=0.1834 name=0.1496 name_acc=0.971 tok/s=65,370
ep0 step4400/46784 loss=0.4588 lm=0.2839 name=0.1749 name_acc=0.935 tok/s=65,373
ep0 step4420/46784 loss=0.3793 lm=0.1736 name=0.2057 name_acc=0.924 tok/s=65,380
ep0 step4440/46784 loss=0.7278 lm=0.3465 name=0.3813 name_acc=0.839 tok/s=65,387
ep0 step4460/46784 loss=0.4722 lm=0.2371 name=0.2351 name_acc=0.930 tok/s=65,394
ep0 step4480/46784 loss=0.4486 lm=0.2463 name=0.2023 name_acc=0.976 tok/s=65,399
ep0 step4500/46784 loss=0.4176 lm=0.2046 name=0.2130 name_acc=0.949 tok/s=65,409
ep0 step4520/46784 loss=0.6587 lm=0.2689 name=0.3898 name_acc=0.862 tok/s=65,412
ep0 step4540/46784 loss=0.3652 lm=0.1628 name=0.2024 name_acc=0.934 tok/s=65,420
ep0 step4560/46784 loss=0.8932 lm=0.2692 name=0.6240 name_acc=0.786 tok/s=65,426
ep0 step4580/46784 loss=0.3688 lm=0.2242 name=0.1446 name_acc=0.971 tok/s=65,431
ep0 step4600/46784 loss=0.1722 lm=0.1512 name=0.0210 name_acc=1.000 tok/s=65,435
ep0 step4620/46784 loss=0.4532 lm=0.2402 name=0.2130 name_acc=0.943 tok/s=65,440
ep0 step4640/46784 loss=0.4770 lm=0.2147 name=0.2622 name_acc=0.917 tok/s=65,443
ep0 step4660/46784 loss=0.6912 lm=0.3980 name=0.2932 name_acc=0.894 tok/s=65,448
