=== Tue Aug 18 14:01:04 UTC 2026 v5 main ===
params: 48.12M  device: cuda
dev split: 5000 rows held out, 640323 train
ep0 step4560/64704 loss=1.0915 lm=0.3993 name=0.6922 name_acc=0.789 tok/s=66,241
ep0 step4580/64704 loss=0.9618 lm=0.5146 name=0.4471 name_acc=0.831 tok/s=66,244
ep0 step4600/64704 loss=1.2678 lm=0.6385 name=0.6294 name_acc=0.806 tok/s=66,244
ep0 step4620/64704 loss=1.3665 lm=0.5792 name=0.7873 name_acc=0.652 tok/s=66,250
ep0 step4640/64704 loss=0.6807 lm=0.3631 name=0.3176 name_acc=0.866 tok/s=66,252
ep0 step4660/64704 loss=2.5975 lm=1.2361 name=1.3614 name_acc=0.571 tok/s=66,253
ep0 step4680/64704 loss=0.5090 lm=0.3146 name=0.1944 name_acc=0.929 tok/s=66,253
ep0 step4700/64704 loss=1.1624 lm=0.5355 name=0.6268 name_acc=0.763 tok/s=66,254
ep0 step4720/64704 loss=0.4191 lm=0.2485 name=0.1707 name_acc=0.946 tok/s=66,253
ep0 step4740/64704 loss=0.9526 lm=0.4043 name=0.5483 name_acc=0.819 tok/s=66,254
ep0 step4760/64704 loss=1.1117 lm=0.5408 name=0.5708 name_acc=0.800 tok/s=66,258
ep0 step4780/64704 loss=1.7415 lm=0.7328 name=1.0087 name_acc=0.662 tok/s=66,261
ep0 step4800/64704 loss=0.9581 lm=0.4623 name=0.4958 name_acc=0.860 tok/s=66,263
ep0 step4820/64704 loss=1.7011 lm=0.6332 name=1.0679 name_acc=0.660 tok/s=66,264
ep0 step4840/64704 loss=1.2824 lm=0.4925 name=0.7899 name_acc=0.731 tok/s=66,266
ep0 step4860/64704 loss=1.0706 lm=0.4191 name=0.6516 name_acc=0.747 tok/s=66,268
ep0 step4880/64704 loss=0.6657 lm=0.3182 name=0.3475 name_acc=0.877 tok/s=66,271
ep0 step4900/64704 loss=0.8772 lm=0.5044 name=0.3728 name_acc=0.906 tok/s=66,275
ep0 step4920/64704 loss=1.0088 lm=0.5562 name=0.4526 name_acc=0.839 tok/s=66,279
ep0 step4940/64704 loss=1.3584 lm=0.4530 name=0.9054 name_acc=0.722 tok/s=66,282
ep0 step4960/64704 loss=1.1950 lm=0.5687 name=0.6263 name_acc=0.786 tok/s=66,283
ep0 step4980/64704 loss=1.6671 lm=0.5780 name=1.0890 name_acc=0.621 tok/s=66,285
ep0 step5000/64704 loss=1.3873 lm=0.5729 name=0.8144 name_acc=0.768 tok/s=66,285
  dev@5000: 1.0675  <- new best
ep0 step5020/64704 loss=4.0716 lm=2.6958 name=1.3758 name_acc=0.587 tok/s=66,116
ep0 step5040/64704 loss=0.8345 lm=0.4597 name=0.3748 name_acc=0.892 tok/s=66,117
ep0 step5060/64704 loss=1.9189 lm=0.8708 name=1.0481 name_acc=0.646 tok/s=66,119
ep0 step5080/64704 loss=0.7063 lm=0.3035 name=0.4028 name_acc=0.907 tok/s=66,121
ep0 step5100/64704 loss=0.7772 lm=0.4019 name=0.3753 name_acc=0.856 tok/s=66,123
ep0 step5120/64704 loss=1.3168 lm=0.5535 name=0.7633 name_acc=0.706 tok/s=66,128
ep0 step5140/64704 loss=0.7963 lm=0.3494 name=0.4469 name_acc=0.851 tok/s=66,130
ep0 step5160/64704 loss=1.0893 lm=0.4581 name=0.6312 name_acc=0.815 tok/s=66,134
ep0 step5180/64704 loss=1.5977 lm=0.7114 name=0.8863 name_acc=0.719 tok/s=66,139
ep0 step5200/64704 loss=1.6112 lm=0.6336 name=0.9776 name_acc=0.596 tok/s=66,143
ep0 step5220/64704 loss=2.1623 lm=0.9285 name=1.2338 name_acc=0.576 tok/s=66,146
ep0 step5240/64704 loss=0.8250 lm=0.4676 name=0.3574 name_acc=0.897 tok/s=66,152
